SN,Term,Definition (English),Term translation/transliteration in Tigrinyan,Definition in Tigrinyan,Tigrinyan definition provided by (names),Term translation/transliteration in Amharic,Definition in Amharic,Amharic definition provided by (names)
417,Onchocerciasis,"A parasitic vector-borne disease caused by a worm that affects the skin, lymph nodes and the eyes of infected people. It is also called river blindness.",ኦንኮስርኪያስስ ,ብነፍሳት ዝመሓላለፍ ሕማም ኰይኑ መንሲኤኡ ድማ ፅግዕተኛ ተህዋስ እዩ ዘጥቀዖ ኣካል ድማ ቆርበት ፅክታት ክምእዉን ዓይኒ ይጎድእ  ሪቨር ብላይንድነስ ውን ይበሃል,,,,
418,Ophtalmic,Of the eye.,ዓይኒ ,ዓይኒ ,,,,
419,Oral,By mouth. An oral medicine is one taken by mouth.,ብኣፍ ,ብኣፍ ዝወስድ ማለት እዩ ኘኣብነት፡ መድሓኒት,,,,
420,Organ,"A part of the body that is more or less complete in itself and does a specific job. For example, the lungs are organs for breathing.",ኣካል ሰብነት,ኣካል ሰውነት ኮይኑ ምሉእነት ሃሊይዎ ባዕሉ ኪኢሉ ዝተወሰነ ስራሕቲ ዝርሕ ኣካል ማለት እዩ  ,,,,
421,Organise,Arrange in an orderly or systematic way. ,ምድርጃው ,ብመስርዕ ወይ ድማ ብጥበብ ምድርጃው ማለት እዩ,,,,
422,Organism,Living things (animals or plants).,ህይወት ዘለዎ ነገር ,ህይወት ዘለዎ ነገር ኮይኑ እንስሳትን ኣትክልትን የጠቃልል,,,,
423,ORS,"Oral rehydration salts (ORS) are used to prevent or treat dehydration. It is a packet containing sugar and salts in the correct amounts, which the caregiver dissolves in clean drinking water. ",ኦ ኣር ኤስ ,ኦ ኣር ስ ማለት ብዓቀን ዝተሓወሰ ሕዋስ ጨውን ሽኮርን ኮይኑ ውፀኣት ንምሕካም ዘጠቅም ንጥረ ነገር ማለት እዩ ,,,,
424,Osteoporosis,Softening of the bones due to reduction in the concentration of calcium in the bone. This condition is more common in older persons.,ኦስትዮፖሮሲስ  ወይ ድማ  ርቀት ኣዕፅምቲ ደቂ ሰባት እዩ,ኦስትዮፖሮሲስ ማለት ብሰንኪ ዋሕዲ ካልሽየም ዝመፅእ ርቀት ኣዕፅምቲ ደቂ ሰባት እዩ,,,,
425,Outbreak,A sudden breaking out or occurrence e.g. of a disease/epidemic.,ለበዳ ,በድንገት ዝመፅእ ሕማም ለበዳ እዩ,,,,
426,Ovaries,Small sacs in a woman's belly next to her womb. They produce the eggs that join with a man's sperm to make a baby.,ኦቫሪ ማለት ኣካል ማህፀን እዩ ,ክፋል ማህፀን ኣዴታት ኮይኑ እንቆቅሖ ወይ ድማ ዘርኢ ጋል ኣነስተይቲ ንምፍራይ ዝጠቅም ኣካል እዩ,,,,
427,Overdose,To take more than the recommended dose of a drug.,ካብ ዓቀን ንላዕሊ ,መድሓኒት ካብ ዓቀን ንላዕሊ ምሳድ ማለት እዩ,,,,
428,Ovulation,The release of a mature ovum from the ovary.,ኦቭሌሽን,ዝበፀሐ እንቆቅሖ ካብ ኦቫሪ ክወፅእ ከሎ ማለት እዩ ,,,,
429,Oxytocin,The recommended uterotonic drug to induce labor and to control postnatal hemorrhage. ,ኦክሲቶሲን ,ሕርሲ ንምጀማርን ድሕሪ ወሊድ ንዘጋጥም መድመይቲ ንምክልኻልን ዝወሃብ መድሓኒት እዩ፡፡,,,,
430,PAB,"Percentage of children protected at birth (PAB) from neonatal tetanus, because their mother received a valid dose of TT2+ vaccination at least two weeks before delivery. ",ፓፕ , ንወሊድ ክልተ ሰሙን ክሳብ ዝተርፎ እታ ኣደ ክልተ ግዜን ልዕለኡን ቲቲ ቫክሲን እንድሕር ዳኣ ተኸቲባ እቲ ዝውለድ ህፃን ካብ ብሰንኪ ቴታነስ ዝመፅእ ሕማም ውሕስ እዩ፡፡,,,,
431,Pacifiers,"A rubber or plastic device, often shaped into a nipple, for a baby to suck or bite on. Also known as dummies.",ካብ ፕላስቲክ ዝተሰርሐ ጥጦ,ቆልዓ ክጦብዮ ተባሂሉ ካብ ፕላስቲክ ዝስራሕ ጥጦ ,,,,
432,Palatable,Acceptable or agreeable to the palate or taste. Food should also be palatable or tasty and good to eat.,ክተበልዖ ጣዕሚ ወይ መቀረት ዘለዎ (ተበላዒ),ክተበልዓ ጣዕሚ ወይ መቀረት ዘለዎ ምግቢ ንኽትበልዖ ጥዑም ወይ ድማ ምቁር ክኸውን ኣለዎ ,,,,
433,Palate,The roof or top part of the mouth.,ትንሓግ,ትንሓግ ናይ ኣፍ ላዕለዋይ ኣካል ማልት እዩ ,,,,
434,Pallor,Unusual or extreme paleness. ,ፓለር  ማለት ምፅዕዳው ወይ ድማ ምብራዕ ማልት እዩ,ፓለር  ማለት ምፅዕዳው ወይ ድማ ምብራዕ ማልት እዩ,,,,
435,Palpation,"To examine by touch, especially for the purpose of diagnosing disease or illness.",ስውነት ምድህሳስ ,ዝሓመመ ኣካል ስውነት ንምፍላጥ ዝግበር ምድህሳስ ኣካል እዩ,,,,
436,Papules,Raised skin lesions.,ፓፑል ውይ ድማ ኩርብጥ ዝበለ ቆርበት ,ፓፑል ውይ ድማ ኩርብጥ ዝበለ ቆርበት ,,,,
437,Paralysis,Loss of the ability to move part or all of the body.,ምልማስ,ምልማስ ማለት፡ ኣከል ወዲ ሰብ ሙሉእ ወይ ድማ ክፋል  ምንቅስቃስ ክኣቢ ከሎ,,,,
438,Parasites,"Worms and tiny animals that live in our on another animal or person and cause harm. Fleas, intestinal worms, and amoebas are parasites.",ፅግዕተኛ/ ፓራሳይት,ፓራሳይት ማልት ሓሳኹት ወይ ድማ ኣናእሽቶን እንስሳታት ኮይኖም ኣብ ሰባት ወይ ድማ እንስሳታት ዝነብሩ ኮይኖም ሓደጋ ወይ ሕማም ዘምፅኡ እዮም,,,,
439,Parasitological,Parasitological or parasite-based diagnosis is a process using specific tests to identify the presence of parasites or of its products in the blood. ,ፓራሳይቶሎጂካል ,ፓራሳይት ወይ ድማ ናታቶም ቅሪት ኣካል ብላቦራቶረይ ምፍላይ  ወይ ድማ ምፍላጥ ማልት እዩ,,,,
440,Parenteral,Not by mouth but by injection.,ብመርፍእ ዝወሃብ ,ብመርፍእ ዝወሃብ መድሓኒት,,,,
441,Partograph,"A chart used to assess the progress of labour, and of fetal and maternal condition during labour.  It is the best tool to help you detect whether labour is progressing normally or abnormally. ",ፓርቶግራፍ,ከይዲ (ምዕባል) ሕርሲን ኩነታት ኣደን ህፃንን ንምክትታል እንጥቀመሉ ቻርት እዩ፡፡,,,,
442,Pasteurisation,"Pasteurisation is a process of heat treatment of milk, beer and some other beverages to a certain temperature (60°C) for about 30 minutes in order to kill harmful bacteria.",ፓስተራይዘሽን ,ፓስተራይዘሽን ማለት ከይዲ ምማቅ ወይ ድማ ምፍላሕ ፀባ ቢራ ካልኦት ነገራትን ኮይኑ እዚ ዝግበረሉ ዋና ምኽንያት ድማ ጎዳእቲ ዝኾኑ ባክተርያታት ንምቅታል እዩ፡፡ ዝፈልሓሉ መጠን ሙቀት ድማ ክሳብ 60 ድግሪ ሰንቲግሬድ ኮይኑ ነስታት 30 ደቂቃ እዩ,,,,
443,Pathogenic,"Disease-causing E.g. pathogenic viruses, bacteria, protozoa and parasites. ",ፓቶጀኒክ,ሕማም ዘምፅኡ ተህዋስያን ንኣብነት ከም ቫይረስ ባክተረያን ፅግዕተኛ ተህዋስያንን,,,,
444,Pathogens,Disease causing organisms.,ፓቶጅንስ ,ሕማም ዘምፅኡ ተህዋስያን ,,,,
445,PCV10,"The vaccine that is being introduced in Ethiopia as part of the EPI is called PCV10, also known by its brand name Synflorix. PCV10 is highly effective at preventing infections caused by the strains of Streptococcus pneumonia. ",ፒሲቪ 10,ብስትረፕቶኮኮስ ንሞንያ ዝመፅእ ሕማም ንምክልኻል ዝጠቅም ክታበት,,,,
446,Pelvis,Hip bones.,ዓፅሚ ጎሎ,ዓፅሚ ጎሎ,,,,
447,Percentage,"A rate or proportion, per 100. ", ሚኢታዊ ,ካብ ሚኢቲ ወይ ድማ ሚኢታዊ ,,,,
448,Perception,"The act of becoming aware of, noticing.",ኣረዳድኣ,ኩነታት ንምርዳእ ዝገበር ዝግበር ፃዕሪ ,,,,
449,Percolation,The slow movement of water through the pores in soil or permeable rock.,ምዛላቅ ,ማይ ቀስ ኢሉ ኣብ ሓመድ ወይ ድማ ማይ ዘመሓላልፍ ነገር ቀስ ኢሉ ክዞርቅ ከሎ,,,,
450,Performing,"To carry out, to act.",ስራሕ ምስራሕ ወይ ድማ ምውጋን,ስራሕ ምስራሕ ወይ ድማ ምውጋን,,,,
451,Peritoneum,The thin lining between the guts and body wall. The bag that holds the guts. ,ረቒቕ መሸፈኒ ከሽዐ,ረቒቕ መሸፈኒ ከሽዐ ኣብ ሞነጎ ውሽጣዊ ከሽዕን ላዕለዋይ ሽፋን ከብዲ ዝርከብ::  ንውሽጣዊ ኣካላት ከሽዐ ዝሕዝ ከረጢት፡፡ ,,,,
452,Peritonitis,"A very dangerous inflammation of the peritoneum. The belly gets hard like a board, and the person is in great pain, especially when he tries to lie with his legs straight.",ረኽሲ ረቒቕ መሸፈኒ ከሽዐ,ከምዚ ዓይነት ሕማም ዘለዎ ሰብ ከብዱ ከም ኩዕሶ ይጥንክር፣ብፍላይ ድማ እግሩ ዘርጊሑ ንምድቃስ እንትፍትን ብርቱዕ ቃንዛ ክበዲ ይህሎዎ  ,,,,
453,pH,"A measure of how acidic or alkaline an environment is, on a scale of 0 to 14, where less than 7 represents acidity, 7 neutrality, and more than 7 alkalinity.",ፐኤች,ናይ ኣሲድ ወይ ኣላካላይ  መ ዕቀኒ ኢዩ፡፡ እቲ መዕቀኒ እውን ካብ ዜሮ ክሳብ 14 ዓቀን እንትህልዎ፤ ትሕቲ 7 ናይ ኣሲድ ባህርይ እንተመላኽት 7 ማንከላይ ካምኡውን ልዕሊ 7 ኣልካላይን ባህርይ የመላኽት::,,,,
454,Pharyngitis,"Pharyngitis generally begins with the sudden onset of fever (temperature above 37.5°C), and a sore throat, with redness and swelling of the tonsils at the back of the throat. ", ፋረንጃይትስ,ብሓፈሻ ሕማም ፋረንጃይትሰ ልእሊ 37.5 ዲግሪ ሴንቲ ግሬድ  ሃነደበታዊ ረሰኒ ፣ቁሰለት ጎሮሮ፣ምቕያሕን ምሕባጥ ብዲሕሪ ጎሮሮ ዝርከብ ቶንሲል ምልክታት ሕማም ምርኣይ ይጅምር    ፡፡ ,,,,
455,Physiology,The study of the bodily functions of living organisms and their parts.,ፊዝዮሎጂ,ፊዝዮሎጂ ስራሕቲ ኣካላት ህይወት ዘለዎም ነገራት ዘፅንዕ ሳይነስ ኢዩ፡፡ ,,,,
456,PID,"Pelvic inflammatory disease (PID), is an inflammation of the uterus and fallopian tubes due to bacterial infection or other pathogens.",ረኽሲ ውሽጣዊ ኣካላት ጎሎ/ፒኣይዲ/,ረክሲ ውሽጣዊ ኣካላት ጎሎ/ፒኣይዲ/  ብሰንኪ ብባክተርያን ካለኦት ታህዋስያንን ዝመፅእ ረኽሲ ማህፀንን ሻምባቆ ማህፅን ኢዩ፡፡,,,,
457,PITC,"Provider-initiated HIV testing and counselling (PITC). This means that when trained to do so, you should offer and provide HIV testing and counselling yourself. ",ብተበግሶ ዝልጠነ ጥዕና  ብዓል ሞያ  ዝግበር ናይ ኤችኣቪ/ኤድስ ምኽርን ምርመራን/ፒትክ/,ብተበግሶ ዝልጠነ ጥዕና  ብዓል ሞያ ዝግበር ናይ ኤችኣቪ/ኤድስ ምኽርን ምርመራን::,,,,
458,Placenta,"The placenta is a temporary organ required for the development of the embryo and fetus. It allows for the exchange of nutrients and oxygen from mother to fetus, and the transfer of fetal waste products back to the mother for disposal by her organs. The placenta normally comes out 15 minutes to half an hour after the baby is born.",መዳሕንቲ,ኣብ እዋን ጥንሲ ዝፍጠር ኣካል ማህፀን ኮይኑ ዕሸል ኣብ ውሽጢ ማህፀን ብግቡእ ንኽዓቢ ይጠቅም፡፡ስነ-መኣዛን ኦክስጅንን ካብ አዶ ናብ ዕሸል የተሓላልልፍ ከምኡውን ካብ ዕሸል ዝወፅእ የድሊዩ ነገራት ናብ ኣዶ ይመልስ፡፡ መዳሕንቲ ኣብ እዋን ዕንቡር ወሊድ ኣብ ውሽጢ 15 ደቓይቕ ካብ ማህፀን ተፈልዩ ንደገ ይወፅእ፡፡,,,,
459,Placenta previa,A condition in which the placenta is too low in the womb and blocks the mouth of the womb. The risk of dangerous bleeding is high. Women who have bleeding late in pregnancy- a possible sign of placenta previa- should go to hospital at once.,መዳሕንቲ ኣብ ኣፍ ማህፀን እንትቕመጥ,መዳሕንቲ ንታሕቲ ወሪዱ ኣፍደገ  ማህፀን ይዓፅው፡፡ አዙይ ዓይነት ኣቀማምጣ ማዳሕንቲ ንመድመይቲ ኣዚዩ ዝተጋለፀ ኢዩ፡፡ መድምይቲውን ኣብዝሓ ግዘ ኣብ መወዳዕታ እዋን ጥንሲ ይኽሰት፡፡አዙይ ዓይነት ምልክት ዘለዋ ኣዶ ግዘ ከይሃብካ ንሆሰፒታል ምልኣኽ፡፡,,,,
460,Planning,"Planning is an important skill for Health Extension Practitioners because it is a key management function for all health workers and health managers. Planning is the process of determining in advance what should be accomplished and when, by whom, how and at what cost. ",ምትላም,ምትላም ማለት ንቐፃሊ ዝስርሑ ስራሕቲ ብመን መኣዝ ብኸመይ ከምኡውን ንመፈፀሚ ዘድሊ በጀት ኣቀዲምካ ምውፃእ ኢዩ፡፡ምትላም ኣገዳሲ ክህሎት ጥሙር ጥዕና ሰራሕተኛታት ኢዩ፡፡  ምኽንያቱ ትልሚ ምትላም ቁልፊ ስራሕቲ ኩሎም ሰብ ሞያ ጥዕናን ሓለፍትን ስለዝኾነ፡፡   ,,,,
461,Plasmodium,Malaria is an infection of the red blood cells caused by a parasite called plasmodium that is carried by certain kinds of mosquitoes. ,ፕላሰሞዱይም,ሕማም ዓሶ ረኽሲ ቀይሕ ደም እንትኸውን ብምኽንያት ፕላስሞዱይም ዝተብሃለ ታህዋስያን ይመፅእ፡፡ ኣዚ ታህዋስያን ብጣንጡ ኣቢሉ ካብ ሕሙም ሰብ ናብ ጥዑይ ሰብ ይመሓላለፍ፡፡ ,,,,
462,Platelets,"Blood is a fluid comprising red blood cells, several types of white blood cells and small fragments of blood cells called platelets, which are involved in the blood clotting process. ",ፕላትሌት,ደም ፈሳሲ ነገር ኮይኑ ዋህዮ ቀይሕ ደም፣ ብዙሓት ዓይነት ዋሕዮታት ፃዕዳ ደምን ፕላትልተስን ይሕዝ፡፡ፕላትልተስ  ድማ ኣብ ደም ምርጋእ ስራሕቲ ይዋስኡ፡፡,,,,
463,PLHIV,People living with HIV. PLHIV refers to everyone who is infected with the HIV virus. ,ምስ ኤች ኣይ ቪ / ኤድስ ዝነብሩ ወገናት/ሰባት/,ምስ ኤች ኣይ ቪ / ኤድስ ዝነብሩ ወገናት/ሰባት/,,,,
